met9,expriment,NA,114.57,0.18,NA,cmp.met9,50456,51318,51110,51921,53036,50964,49825,51321,48721,50687,53417,51399,50545,50342,49557,47756,51106,51646,51483,50665,51580,50457,52111,50646,53714,51878,53527,50539,54063,48516,50847,50450,50794,48692,49733,48337,50567,54355,49295,49211,48512,52931,52565,50651,51728,51727,53275,52963,54327,50165,50270,45257,48500,50731,45446,44014,49702,51048,50850,53618,59615,59602,52326,56876,56667,53728,55033,53465,51680,49583,48349,51101,49753,51164,51874,52740,51355,51462,55036,53083,49318,53863,58649,52159,54068,54918,60365,52663,57118,55851,43258,45636,46595,52019,47477,53408,51140,50035,51050,47040
met10,expriment,NA,82.2,0.76,NA,cmp.met10,10840,11123,11384,14858,13711,12475,11402,11127,11724,10733,14634,15287,14508,12165,11588,12187,13075,14710,14016,15851,15561,13226,12243,13705,12469,17051,15383,12420,15788,12625,13922,11884,11468,10667,11982,12052,13435,13418,11683,13011,10998,12417,14135,13676,10860,14155,13266,12369,13975,11649,11090,8403,11533,10062,9565,9478,11985,11007,10823,11675,14439,13046,13724,13377,12759,11027,15187,11069,10904,12520,9853,12861,11048,13260,12323,13680,13113,11678,12409,12104,12569,12484,15225,11923,12866,12826,14810,14163,13966,14395,10296,10649,12179,13881,11387,12133,12468,12157,12934,12697
met11,expriment,NA,32.12,1.97,NA,cmp.met11,4908,4459,4295,4357,5235,4783,4503,4170,4217,4418,4392,4082,4228,3905,4106,4543,4207,3637,4344,4256,3958,3782,3950,3953,4161,4103,4161,3837,4081,3776,4736,4553,5030,5186,4523,3721,4605,4973,4948,4770,5128,4505,4498,4271,4613,4642,4320,4608,4385,4269,4150,3949,4166,4693,4420,3683,4435,4090,4582,4850,5500,5204,5237,4699,4915,5214,4465,4347,3962,4191,4729,4831,4155,4443,4498,4469,4422,4273,4511,4110,4109,3982,5246,4209,4161,4949,5048,4306,4470,4436,3510,3353,3663,3817,3920,13349,4101,4023,3870,3451
met12,expriment,NA,42.25,1.92,NA,cmp.met12,9035,7311,7045,11199,26002,7288,12401,12225,10082,3894,5539,13432,6862,8556,6008,7345,5967,6948,7659,9475,10932,8985,6858,8159,18305,9230,7367,7433,9701,10725,6249,9090,11859,5151,7727,4341,5736,18739,6720,7153,6600,7046,4937,7192,7454,4761,7878,5063,11110,9117,6982,5079,9042,6554,7203,6530,8416,7481,7316,11471,25641,9564,9835,10778,11454,23210,13736,12315,9197,9884,7765,10141,9395,10503,10269,10206,8937,10038,11026,11114,10053,8185,21014,9701,8215,10922,15171,11251,13619,17032,3774,3735,4528,4333,7939,5083,3330,5120,4688,3205
met13,expriment,NA,54.38,1.49,NA,cmp.met13,14543,15009,12452,11565,13587,12656,12002,11820,9589,10724,15891,17200,15950,14633,14206,13143,13336,13843,14382,16971,13222,13162,13414,15159,16263,14798,14453,13488,13531,11842,12879,12746,14949,13704,14668,13479,13256,15198,13443,12829,13439,12507,14044,12702,16238,12450,13534,14635,13508,16839,11760,11588,12802,12595,13231,13352,13817,13725,14641,15231,16371,15044,14799,14774,15496,10918,14645,12676,13597,12972,13384,14632,14232,14311,14025,15866,14746,15516,14030,174022,14247,14483,16416,17161,13251,13038,13956,12956,17215,15562,12408,13553,12457,14251,15128,13846,14787,12177,12410,11121
met14,expriment,NA,112.14,0.37,NA,cmp.met14,1980,1048,1109,1382,1285,539,679,418,359,220,273,NA,135,123,221,245,350,103,442,NA,NA,NA,NA,NA,NA,378,NA,226,NA,NA,113,NA,NA,103,NA,NA,NA,NA,NA,158,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,177,NA,143,168,133,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,2127,NA,NA,NA,NA,105,211,96,121,NA,103,NA
met15,expriment,NA,151.31,0.49,NA,cmp.met15,14216,11558,11852,13520,25164,15419,11444,14701,11928,9911,10269,17855,8811,9437,7988,10599,9982,10197,11114,15713,13975,11139,14135,10073,18939,13326,12904,10047,14839,10721,15096,11765,19154,10099,12383,10498,11553,26499,11183,11370,10692,12660,13757,12812,15104,14206,11038,12688,11695,13316,12821,9927,12179,11410,10432,10248,12007,12705,12686,14058,27746,15992,13971,13041,15727,22373,17200,15864,13351,15706,13179,13682,11959,13737,12711,11735,13828,13063,12809,13110,11436,12215,20263,12249,11843,14590,14933,12923,14331,15604,8354,8192,9662,10648,14863,11115,8602,9675,11118,8798
met16,expriment,NA,173.78,0.5,NA,cmp.met16,1682,1467,1316,1215,1583,1146,1027,1180,790,915,2931,2670,2337,2851,1606,2631,2602,2140,1738,2297,2147,1649,1647,1427,2004,1815,1910,1721,1830,1260,1861,2604,2988,2139,2493,2141,2771,3231,1744,1947,2045,2062,2335,1975,1592,2457,1670,1799,3178,1786,1753,1608,1534,2016,1745,1080,1198,1335,2031,1901,1515,1887,1196,1269,871,890,1309,1662,1333,1676,1498,2068,1655,1684,1442,1757,861,1226,1085,1142,2232,2075,2579,1585,2651,1669,2271,1726,1487,1777,1722,1589,1650,2328,2996,2610,2424,1908,2030,1651
met17,expriment,NA,157.22,1.99,NA,cmp.met17,20116,22091,20306,20787,34103,23639,20675,24961,22013,21477,19316,25603,16258,17298,26691,16535,19622,19207,18460,24364,19507,20235,20935,27573,31250,21724,20544,17698,22288,22173,19853,19599,21396,17408,17298,17327,18051,25988,17870,18178,18142,18189,20449,20519,19655,20033,19096,16125,20084,17332,19247,16916,21396,18380,16659,16926,18634,19030,22118,24001,30334,25073,21267,23236,22933,28900,23107,24446,21588,19704,20903,20521,19071,20334,24262,22272,18285,17974,18862,18746,16418,17578,25734,18650,19489,19424,22778,19348,21916,24259,16537,19832,20334,23998,23192,22025,20165,21462,19696,18343
met18,expriment,NA,135.31,0.6,NA,cmp.met18,61591,61015,53293,51525,57457,48836,45839,42008,37547,35968,90806,93051,84868,75069,73432,69212,71060,66740,65730,74733,66744,57802,60950,62540,65502,62109,64122,59636,62784,55980,65222,65840,72170,67679,66847,67600,69126,79274,65352,64453,61367,65969,65288,62783,64038,60479,69340,65868,67143,61925,57989,55572,59218,60843,54975,52845,58063,60162,58924,65210,73292,67741,55948,62073,57197,50677,58360,55829,54228,53275,63550,68414,64571,68306,66161,66718,66480,63460,65010,64301,64259,66308,79010,68011,67880,69209,71792,62884,64527,65858,59316,60640,60448,66691,76013,67011,69590,63404,59024,57725
met19,expriment,NA,164.52,1.44,NA,cmp.met19,2190,780,1998,2930,2953,1163,1434,1591,NA,375,171,NA,44,79,NA,NA,73,NA,59,69,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met20,expriment,NA,116.18,1.88,NA,cmp.met20,170,88,59,43,60,17,35,11,12,1,3712,2189,1115,376,299,1477,452,183,3377,684,431,1274,799,1056,386,509,845,370,304,865,408,264,73,384,344,255,131,427,54,280,282,164,349,126,859,141,NA,24,108,NA,188,NA,1410,72,118,193,299,246,935,80,188,240,329,89,504,NA,494,68,60,310,507,261,NA,252,NA,1003,1242,494,996,1475,252,2675,1250,264,511,3649,2685,512,969,490,51,21,64,27,109,46,10,53,69,68
met21,expriment,NA,56.26,1.05,NA,cmp.met21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met22,expriment,NA,35.89,1.01,NA,cmp.met22,1545,1524,1943,1721,1590,1515,1482,1630,1705,1090,1416,2093,1866,2056,1969,1517,1941,1373,1439,1750,1510,1576,1881,1974,1445,1807,1338,2050,2456,1824,1148,1604,1209,1514,1161,801,1386,1115,614,1469,1078,1333,1087,849,1117,1338,1573,889,1285,1579,1468,2121,1588,2127,2040,1657,2007,1964,1872,2158,1689,2519,1759,2277,1891,734,2287,1674,1963,2144,1761,1472,1553,2706,2374,2345,1897,2185,2394,2045,1680,2724,2369,2912,1721,2451,2214,2323,2048,1919,2034,1921,2166,2061,1122,1764,1676,2000,2142,2025
met23,expriment,NA,35.59,1.03,NA,cmp.met23,1688,2765,1952,1548,1822,2637,2230,1636,1694,2166,3174,1999,9529,8923,3865,3550,2035,2829,2540,4673,4546,2722,3745,6092,6806,3071,6748,2050,6275,4817,13403,3593,1940,2037,1928,1401,2233,2436,1889,2240,4983,3319,1975,2133,28237,2810,2859,5904,2234,10594,1698,2147,2187,3061,1815,1709,1975,2053,2418,2302,4357,2859,2917,3235,4470,10574,2254,2441,2991,2135,3130,3298,2623,3202,3568,5925,2613,2486,2897,2587,2235,2183,3687,2538,4351,3051,2558,2837,2204,3588,2126,3862,2074,2647,2266,2176,2325,1972,1732,1648
met24,expriment,NA,41.21,0.06,NA,cmp.met24,17945,4520,6422,230105,7619,17468,11482,18225,32992,16142,NA,NA,302,12083,1051,996,1291,812,720,920,1836,1041,1808,711,2223,1670,1899,663,520,1699,3313,5544,1882,2320,1942,3178,3462,62401,2939,NA,2604,1420,4700,1089,1272,1145,1943,NA,725,1897,751,NA,19868,8562,NA,NA,NA,10326,18136,7262,853,3139,10872,8091,NA,9088,9709,7736,10381,14053,1322,939,824,1305,1628,323,910,1056,783,1615,1142,110,1765,260,1465,751,1082,1538,1023,854,2429,1181,1275,1661,5303,23771,NA,NA,3272,1007
met25,expriment,NA,155.49,0.54,NA,cmp.met25,806,565,591,390,578,497,396,50,308,167,189,254,160,NA,NA,143,76,NA,177,98,NA,47,NA,80,52,121,NA,66,118,NA,NA,66,NA,NA,134,NA,62,136,113,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,111,88,58,NA,81,NA,NA,NA,NA,NA,NA,75,118,41,109,NA,NA,NA,114,NA,56,NA,NA,NA,NA,NA,38,70,58,NA,NA,81,80,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,73,148,70,NA,NA,NA,129,NA
met26,expriment,NA,173.74,1.51,NA,cmp.met26,35641,33819,29722,28082,31757,27445,25916,23291,20260,20143,58962,57717,52321,47034,45551,41820,43850,41281,39167,46170,40335,33992,36953,34979,41728,40840,37428,34962,37185,35821,38870,39681,43817,41577,40981,39924,39259,46954,37200,37598,35878,36708,36014,34933,37268,38503,38886,41769,40888,37109,38048,36056,40555,40247,34125,33114,38186,38955,35768,42647,49617,42148,34071,36304,33158,29659,33689,31360,31534,30439,41269,38587,41070,40769,42447,41835,38595,37390,38197,37768,38795,39534,44887,39851,39709,38878,42072,40023,36739,40408,42312,41814,43354,44929,55738,45092,47835,40107,41504,39315
met27,expriment,NA,36.33,0.45,NA,cmp.met27,39132,36575,32765,31608,36606,30196,29055,26212,23383,22396,61087,63928,57309,52282,49650,48219,49354,46555,45197,49483,45996,37219,42495,40311,46090,42415,44228,39606,42643,38420,45098,47494,50573,50695,49598,45330,49849,55399,46058,45838,45048,44679,44398,44146,43932,44319,46745,47387,47405,43526,42707,38336,42345,41305,36640,38093,40078,41032,41279,46029,52467,45875,38476,41046,37591,33261,38057,35532,33045,35078,44004,45434,44347,45691,45820,45104,44620,41713,44173,40795,42527,44084,52050,44156,44983,45913,49030,40965,41341,41660,41688,40246,45067,46190,54395,49036,49268,43821,40306,41266
met28,expriment,NA,105.98,0.96,NA,cmp.met28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met29,expriment,NA,21.12,0.29,NA,cmp.met29,57,NA,NA,37,24,NA,NA,58,47,NA,688,3269,NA,NA,NA,1706,NA,630,530,NA,1151,NA,NA,1274,1933,NA,511,NA,1429,NA,19,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,31,3,NA,NA,40,NA,NA,NA,NA,1174,NA,NA,NA,NA,NA,NA,NA,NA,736,3036,NA,691,NA,NA,NA,881,NA,865,1121,33,8,4,24,10,NA,NA,NA,NA,35,34,NA,27,NA,37,NA,34,53,37,NA,NA,59,NA,NA,NA,NA,NA,20,NA,NA
met30,expriment,NA,189.01,1.52,NA,cmp.met30,1958,1932,1775,1785,1694,1586,1345,1179,1098,984,3406,2622,2917,2278,2613,2280,2267,2173,1809,2352,2144,1703,1846,1513,1883,1994,1738,1570,1862,1631,1942,2405,3092,2644,2092,2172,2804,2838,2006,1952,2176,2737,1752,1947,2411,2103,2348,2534,2582,2477,2252,2331,1912,2013,2340,1877,2406,2029,2142,2647,3276,2634,2185,1916,1975,1863,1772,2067,1867,1624,1764,2429,2331,2411,2219,2498,2297,2060,2409,2537,2249,2555,2929,2838,2649,2319,2575,2611,2149,2276,2223,2493,1968,2665,2385,2846,2357,2544,1828,2125
met31,expriment,NA,184.4,1.81,NA,cmp.met31,46797,46095,45238,60802,46507,47488,48122,48642,45914,47618,39797,38295,39172,54087,41076,40948,42189,41787,41231,40306,43082,39763,41530,42600,42167,42798,43925,42011,44502,41107,41694,44201,42277,42017,43250,42332,44325,62527,43244,43042,44043,46141,47138,43368,45106,45958,49145,48049,46065,43976,40457,37986,41572,42335,38955,36522,42210,42629,42744,46201,45437,48309,44781,47344,47890,49722,47492,45693,44544,44189,42709,45253,42064,42924,44877,43997,46786,43649,44550,42900,41496,43497,46626,44711,44904,44903,50450,44118,43698,43548,42934,43110,46777,48598,44618,57992,48998,48425,45866,43308
met32,expriment,NA,49.58,0.81,NA,cmp.met32,9773,11953,9813,9581,9692,9006,9520,8808,8961,9265,11623,8181,10583,9549,11125,10109,10085,9883,9931,9994,9483,9710,9457,8713,9278,9540,8876,9129,10444,9604,9216,9702,10891,9463,11083,9174,11061,9835,9707,9740,11057,11343,10042,10757,10527,10411,11902,12615,11235,11733,11333,11071,10183,10916,10643,8981,10671,11490,10668,11068,12641,12287,12129,12696,12393,10740,11730,12050,12274,10919,8616,10753,10758,10574,10160,10692,10603,11764,10760,9656,9596,11115,10165,10316,9047,10910,11141,9804,9800,10392,10299,10222,10293,11320,9316,11425,13286,11433,10076,10202
met33,expriment,NA,98.97,0.04,NA,cmp.met33,4013,4012,3816,3969,3249,3634,3255,3306,3612,3851,4262,3918,4041,4072,3101,3559,3637,4129,2642,3890,3248,3273,4054,3707,3516,4117,3836,3871,4048,3770,3744,4184,3929,3632,3768,3651,3865,3926,3210,4214,3902,4197,4000,4088,3674,3859,4328,4178,4051,4201,3962,3204,3939,3572,3503,3011,3826,3303,3976,3647,3577,2809,3284,4462,3438,2525,2859,3281,3245,2554,3678,5088,3287,3451,4357,3449,4817,4391,3900,4740,4751,3503,3833,5101,3473,3954,5097,3487,3824,3552,4847,4500,4652,3563,4352,4870,4938,3758,3931,3980
met34,expriment,NA,147.49,0.24,NA,cmp.met34,6230,7131,5643,5794,5539,5588,5201,5493,5535,5872,5858,6357,5564,4668,5371,4981,5327,6216,5256,5700,5332,5008,5984,5713,5515,6275,5470,5432,5346,5440,5422,5516,5738,5337,5714,4753,5688,5157,5927,6173,5806,6154,5528,6330,6026,5711,7335,7314,6039,5760,5204,5317,5877,5900,5497,4779,6257,5928,5636,5282,5726,6420,5996,6728,6204,5216,5689,6056,6504,5794,5729,5837,5659,5074,6174,5987,6308,6139,6099,5373,5270,5380,5439,5634,5866,6072,6404,5729,5143,5884,4959,5126,5068,5144,5327,5639,6167,5714,5581,4800
met35,expriment,NA,47.32,0.13,NA,cmp.met35,7631,7222,6522,5258,7576,6912,6212,6517,5769,6749,6248,5414,6782,5460,5622,4883,5263,4711,4972,7466,4468,5028,4139,3479,6185,4975,4977,4935,5827,3319,4426,4344,6835,3550,4462,4577,5122,6174,5380,3651,5182,5019,4977,4204,4094,4250,3962,4849,4856,4918,4171,4425,3774,5792,6317,4967,6120,6001,5578,6362,7323,6328,5559,7072,6965,4411,4598,6049,6313,6312,6498,7859,5366,7120,8191,6630,9099,6440,6329,8056,7396,6470,8788,8928,6262,6430,7774,5223,7362,7333,6278,5108,4908,5502,3954,5883,6739,6097,5474,5040
met36,expriment,NA,102.51,0.2,NA,cmp.met36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met37,expriment,NA,220.66,1.34,NA,cmp.met37,111082,115691,122038,125087,88702,116789,208226,142686,55257,69823,121787,130536,50528,65139,143466,69986,139886,117988,102715,113282,46121,55998,61541,186631,116631,146931,148997,95818,106175,166673,105491,112480,180478,254099,165319,119331,63581,215472,179924,78751,154361,125465,111398,80901,132272,94216,246554,143809,112411,109699,80982,54857,133736,136085,244589,140128,165770,223522,124958,130314,186764,249273,219314,242369,109810,141091,244624,91126,82206,149402,87583,140452,59916,137278,119774,80642,123276,64640,110806,280342,91540,107420,135187,122510,84937,129969,122616,53698,59554,55587,244470,282844,76000,71266,106885,135394,148639,101362,150750,126236
met38,expriment,NA,191.12,0.53,NA,cmp.met38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met39,expriment,NA,23.88,0.64,NA,cmp.met39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
